Continuum,Rank,Sub-Continuum,Year,Male_Edits,Female_Edits,NB_Edits,Male_Words,Female_Words,NB_Words
Domestic,2,Baking,2026,6,2,1,352,347,196
Domestic,3,Laundry,2005,1,6,1,8,38,1
Domestic,3,Laundry,2006,1,4,1,29,16,1
Domestic,3,Laundry,2007,3,1,1,27,37,1
Domestic,3,Laundry,2008,1,1,1,18,66,3
Domestic,3,Laundry,2009,1,1,3,22,56,1
Domestic,3,Laundry,2010,1,4,1,8,34,1
Domestic,3,Laundry,2011,1,4,6,29,54,1
Domestic,3,Laundry,2012,1,4,3,6,31,1
Domestic,3,Laundry,2013,1,1,1,24,81,6
Domestic,3,Laundry,2014,1,1,6,17,58,1
Domestic,3,Laundry,2015,1,2,3,31,46,2
Domestic,3,Laundry,2016,2,1,1,24,81,3
Domestic,3,Laundry,2017,3,3,1,18,39,1
Domestic,3,Laundry,2018,1,1,1,22,52,1
Domestic,3,Laundry,2019,3,1,1,13,36,4
Domestic,3,Laundry,2020,1,6,1,7,38,1
Domestic,3,Laundry,2021,1,1,3,13,81,2
Domestic,3,Laundry,2022,1,1,1,21,61,4
Domestic,3,Laundry,2023,6,6,1,9,86,3
Domestic,3,Laundry,2024,1,6,1,9,89,2
Domestic,3,Laundry,2025,6,6,1,18,41,1
Domestic,3,Laundry,2026,1,4,1,24,56,1
Domestic,4,Housekeeping,2005,3,4,1,19,16,1
Domestic,4,Housekeeping,2006,4,1,1,29,12,1
Domestic,4,Housekeeping,2007,3,1,6,4,21,1
Domestic,4,Housekeeping,2008,3,6,6,14,22,1
Domestic,4,Housekeeping,2009,3,2,6,6,13,4
Domestic,4,Housekeeping,2010,2,1,4,16,16,1
Domestic,4,Housekeeping,2011,2,3,1,38,3,3
Domestic,4,Housekeeping,2012,1,1,1,9,19,1
Domestic,4,Housekeeping,2013,1,3,6,28,6,1
Domestic,4,Housekeeping,2014,6,1,1,31,9,1
Domestic,4,Housekeeping,2015,1,2,2,9,24,1
Domestic,4,Housekeeping,2016,3,3,1,21,6,2
Domestic,4,Housekeeping,2017,4,1,4,21,26,1
Domestic,4,Housekeeping,2018,1,1,4,11,7,1
Domestic,4,Housekeeping,2019,1,1,1,23,11,6
Domestic,4,Housekeeping,2020,3,1,4,41,21,3
Domestic,4,Housekeeping,2021,2,1,1,6,19,1
Domestic,4,Housekeeping,2022,1,1,1,41,26,4
Domestic,4,Housekeeping,2023,4,6,3,37,17,3
Domestic,4,Housekeeping,2024,1,4,4,19,21,1
Domestic,4,Housekeeping,2025,2,3,2,11,12,1
Domestic,4,Housekeeping,2026,1,3,2,23,26,1
Domestic,6,Gardening,2005,1,3,3,64,94,8
Domestic,6,Gardening,2006,1,6,1,116,49,8
Domestic,6,Gardening,2007,1,1,1,47,76,4
Domestic,6,Gardening,2008,1,1,1,103,94,4
Domestic,6,Gardening,2009,1,1,2,148,31,4
Domestic,6,Gardening,2010,1,1,1,179,93,3
Domestic,6,Gardening,2011,4,1,1,29,68,2
Domestic,6,Gardening,2012,1,1,1,83,87,9
Domestic,6,Gardening,2013,1,6,1,61,69,3
Domestic,6,Gardening,2014,3,4,1,48,83,7
Domestic,6,Gardening,2015,1,1,1,31,19,2
Domestic,6,Gardening,2016,1,1,1,89,33,6
Domestic,6,Gardening,2017,1,1,1,142,41,7
Domestic,6,Gardening,2018,2,1,1,101,37,9
Domestic,6,Gardening,2019,1,1,1,161,64,9
Domestic,6,Gardening,2020,1,1,6,187,21,4
Domestic,6,Gardening,2021,1,1,1,49,57,6
Domestic,6,Gardening,2022,1,1,6,139,41,8
Domestic,6,Gardening,2023,1,2,1,139,38,7
Domestic,6,Gardening,2024,1,1,1,24,43,4
Domestic,6,Gardening,2025,1,1,2,123,88,4
Domestic,6,Gardening,2026,1,1,1,161,13,8
Domestic,6,Home-and-Garden,2005,3,1,3,54,12,4
Domestic,6,Home-and-Garden,2006,1,3,2,81,14,4
Domestic,6,Home-and-Garden,2007,1,2,1,52,49,3
Domestic,6,Home-and-Garden,2008,1,1,2,74,49,6
Domestic,6,Home-and-Garden,2009,1,1,3,42,32,6
Domestic,6,Home-and-Garden,2010,1,2,2,38,19,4
Domestic,6,Home-and-Garden,2011,1,1,1,131,19,2
Domestic,6,Home-and-Garden,2012,1,4,1,53,67,6
Domestic,6,Home-and-Garden,2013,1,6,3,51,56,6
Domestic,6,Home-and-Garden,2014,1,1,3,94,51,7
Domestic,6,Home-and-Garden,2015,1,1,1,149,68,1
Domestic,6,Home-and-Garden,2016,1,6,1,102,17,3
Domestic,6,Home-and-Garden,2017,1,3,1,154,39,4
Domestic,6,Home-and-Garden,2018,1,3,4,42,41,3
Domestic,6,Home-and-Garden,2019,1,1,6,26,53,7
Domestic,6,Home-and-Garden,2020,4,1,1,49,32,2
Domestic,6,Home-and-Garden,2021,1,2,2,69,17,6
Domestic,6,Home-and-Garden,2022,1,3,1,151,23,1
Domestic,6,Home-and-Garden,2023,1,1,3,103,79,6
Domestic,6,Home-and-Garden,2024,1,1,1,149,24,6
Domestic,6,Home-and-Garden,2025,1,6,2,91,23,4
Domestic,6,Home-and-Garden,2026,1,4,1,152,51,4
Domestic,7,Washing/Dryers,2005,2,3,1,1951,217,4
Domestic,7,Washing/Dryers,2006,2,4,4,1049,192,13
Domestic,7,Washing/Dryers,2007,3,1,1,1494,142,4
Domestic,7,Washing/Dryers,2008,1,1,1,992,184,8
Domestic,7,Washing/Dryers,2009,1,1,4,1737,226,14
Domestic,7,Washing/Dryers,2010,3,1,1,2319,191,4
Domestic,7,Washing/Dryers,2011,1,2,6,994,111,14
Domestic,7,Washing/Dryers,2012,1,6,1,1326,322,13
Domestic,7,Washing/Dryers,2013,1,1,1,2269,107,11
Domestic,7,Washing/Dryers,2014,2,1,6,2359,172,16
Domestic,7,Washing/Dryers,2015,2,1,1,1877,99,13
Domestic,7,Washing/Dryers,2016,2,1,1,1029,104,4
Domestic,7,Washing/Dryers,2017,2,2,1,2219,93,9
Domestic,7,Washing/Dryers,2018,2,1,1,2106,183,16
Domestic,7,Washing/Dryers,2019,2,1,1,1507,229,9
Domestic,7,Washing/Dryers,2020,1,1,6,1793,309,4
Domestic,7,Washing/Dryers,2021,2,2,1,2341,183,11
Domestic,7,Washing/Dryers,2022,2,4,1,2073,68,14
Domestic,7,Washing/Dryers,2023,1,1,4,527,289,12
Domestic,7,Washing/Dryers,2024,2,1,1,2439,273,13
Domestic,7,Washing/Dryers,2025,1,1,1,1426,38,6
Domestic,7,Washing/Dryers,2026,2,1,1,2416,304,11
Domestic,8,Plumbing,2005,2,2,1,1267,237,11
Domestic,8,Plumbing,2006,6,2,1,1576,137,9
Domestic,8,Plumbing,2007,3,2,1,2713,276,17
Domestic,8,Plumbing,2008,2,2,4,1769,564,19
Domestic,8,Plumbing,2009,2,3,1,3844,1121,13
Domestic,8,Plumbing,2010,6,3,1,1248,606,3
Domestic,8,Plumbing,2011,4,1,1,2379,1014,4
Domestic,8,Plumbing,2012,4,1,6,916,957,3
Domestic,8,Plumbing,2013,2,1,1,3489,321,16
Domestic,8,Plumbing,2014,4,2,4,4117,409,11
Domestic,8,Plumbing,2015,2,2,1,3229,243,22
Domestic,8,Plumbing,2016,1,3,2,1572,732,4
Domestic,8,Plumbing,2017,1,1,4,2591,891,11
Domestic,8,Plumbing,2018,3,3,1,3331,661,3
Domestic,8,Plumbing,2019,2,3,1,1049,458,6
Domestic,8,Plumbing,2020,4,3,1,3926,613,21
Domestic,8,Plumbing,2021,1,2,2,2326,602,14
Domestic,8,Plumbing,2022,6,1,1,2871,292,19
Domestic,8,Plumbing,2023,4,1,1,3741,886,23
Domestic,8,Plumbing,2024,3,2,2,3991,356,12
Domestic,8,Plumbing,2025,4,3,4,3636,148,4
Domestic,8,Plumbing,2026,3,1,6,1599,994,12
Domestic,9,Electrical Wiring,2005,16,7,1,4771,1208,189
Domestic,9,Electrical Wiring,2006,6,7,3,3434,344,128
Domestic,9,Electrical Wiring,2007,6,6,1,1292,1313,148
Domestic,9,Electrical Wiring,2008,17,2,1,2966,304,196
Domestic,9,Electrical Wiring,2009,11,9,1,4251,2158,169
Domestic,9,Electrical Wiring,2010,11,2,1,3462,836,111
Domestic,9,Electrical Wiring,2011,8,6,1,5819,464,184
Domestic,9,Electrical Wiring,2012,12,3,4,3401,1977,211
Domestic,9,Electrical Wiring,2013,9,4,1,3102,1948,173
Domestic,9,Electrical Wiring,2014,4,9,1,4749,1534,154
Domestic,9,Electrical Wiring,2015,18,7,2,4032,651,104
Domestic,9,Electrical Wiring,2016,14,2,1,3681,1841,236
Domestic,9,Electrical Wiring,2017,12,9,1,926,2054,184
Domestic,9,Electrical Wiring,2018,6,4,1,2306,587,203
Domestic,9,Electrical Wiring,2019,14,4,3,3054,779,62
Domestic,9,Electrical Wiring,2020,13,6,2,3043,2012,181
Domestic,9,Electrical Wiring,2021,6,8,1,6216,2436,154
Domestic,9,Electrical Wiring,2022,18,9,1,3506,2341,172
Domestic,9,Electrical Wiring,2023,7,4,1,1908,342,226
Domestic,9,Electrical Wiring,2024,13,3,1,4041,1974,136
Domestic,9,Electrical Wiring,2025,16,3,1,5279,2448,174
Domestic,9,Electrical Wiring,2026,12,4,1,3016,1597,38
Occupational,1,Nursing,2005,2,1,1,232,524,27
Occupational,1,Nursing,2006,2,3,6,567,424,39
Occupational,1,Nursing,2007,2,1,6,104,916,17
Occupational,1,Nursing,2008,1,4,6,178,674,24
Occupational,1,Nursing,2009,2,1,1,379,568,34
Occupational,1,Nursing,2010,1,2,1,352,832,51
Occupational,1,Nursing,2011,2,3,1,143,867,56
Occupational,1,Nursing,2012,1,4,1,589,983,62
Occupational,1,Nursing,2013,1,1,2,209,248,38
Occupational,1,Nursing,2014,1,3,1,93,658,34
Occupational,1,Nursing,2015,1,4,4,176,756,41
Occupational,1,Nursing,2016,2,3,1,554,214,8
Occupational,1,Nursing,2017,1,1,1,683,662,37
Occupational,1,Nursing,2018,1,2,1,179,469,9
Occupational,1,Nursing,2019,4,4,1,327,323,58
Occupational,1,Nursing,2020,1,4,1,369,323,36
Occupational,1,Nursing,2021,1,3,1,179,818,27
Occupational,1,Nursing,2022,2,1,1,107,901,24
Occupational,1,Nursing,2023,1,4,1,329,317,66
Occupational,1,Nursing,2024,3,1,1,589,147,34
Occupational,1,Nursing,2025,1,4,1,362,349,46
Occupational,1,Nursing,2026,2,1,1,667,349,57
Occupational,1,Teaching,2005,2,3,1,933,136,29
Occupational,1,Teaching,2006,4,3,1,787,924,38
Occupational,1,Teaching,2007,3,2,4,723,892,42
Occupational,1,Teaching,2008,3,3,1,146,539,78
Occupational,1,Teaching,2009,2,2,2,603,239,61
Occupational,1,Teaching,2010,3,4,1,661,1051,14
Occupational,1,Teaching,2011,3,4,6,796,1159,32
Occupational,1,Teaching,2012,3,1,1,491,696,26
Occupational,1,Teaching,2013,3,4,1,768,596,76
Occupational,1,Teaching,2014,3,2,4,929,149,67
Occupational,1,Teaching,2015,3,1,3,128,791,68
Occupational,1,Teaching,2016,2,1,3,899,309,73
Occupational,1,Teaching,2017,1,2,3,134,194,44
Occupational,1,Teaching,2018,1,1,1,114,338,79
Occupational,1,Teaching,2019,3,1,1,943,492,71
Occupational,1,Teaching,2020,4,4,2,506,273,28
Occupational,1,Teaching,2021,2,1,1,254,533,71
Occupational,1,Teaching,2022,1,3,1,213,484,79
Occupational,1,Teaching,2023,2,2,3,166,806,69
Occupational,1,Teaching,2024,2,2,1,892,937,24
Occupational,1,Teaching,2025,1,3,1,632,1046,63
Occupational,1,Teaching,2026,3,4,3,924,632,68
Occupational,2,Human Resources,2005,2,2,1,286,233,26
Occupational,2,Human Resources,2006,2,2,3,463,552,19
Occupational,2,Human Resources,2007,2,2,2,209,424,7
Occupational,2,Human Resources,2008,3,3,1,106,196,23
Occupational,2,Human Resources,2009,1,2,1,419,168,31
Occupational,2,Human Resources,2010,1,1,1,333,702,7
Occupational,2,Human Resources,2011,1,3,4,536,694,6
Occupational,2,Human Resources,2012,1,1,2,404,293,33
Occupational,2,Human Resources,2013,2,3,1,626,109,14
Occupational,2,Human Resources,2014,2,3,1,173,476,27
Occupational,2,Human Resources,2015,3,1,3,556,647,29
Occupational,2,Human Resources,2016,1,2,1,146,739,29
Occupational,2,Human Resources,2017,1,3,1,414,414,12
Occupational,2,Human Resources,2018,1,3,2,117,141,17
Occupational,2,Human Resources,2019,1,2,1,441,221,17
Occupational,2,Human Resources,2020,1,2,2,441,423,24
Occupational,2,Human Resources,2021,2,2,1,102,484,24
Occupational,2,Human Resources,2022,2,1,2,228,513,17
Occupational,2,Human Resources,2023,2,2,4,353,626,21
Occupational,2,Human Resources,2024,3,1,1,617,167,14
Occupational,2,Human Resources,2025,2,1,1,443,608,4
Occupational,2,Human Resources,2026,2,1,6,454,721,11
Occupational,3,Healthcare Admin,2005,2,1,2,486,341,7
Occupational,3,Healthcare Admin,2006,3,1,2,416,117,6
Occupational,3,Healthcare Admin,2007,1,2,1,302,194,4
Occupational,3,Healthcare Admin,2008,1,2,1,753,281,2
Occupational,3,Healthcare Admin,2009,3,1,1,351,279,9
Occupational,3,Healthcare Admin,2010,3,1,1,516,189,7
Occupational,3,Healthcare Admin,2011,1,2,1,396,107,12
Occupational,3,Healthcare Admin,2012,2,1,6,456,241,14
Occupational,3,Healthcare Admin,2013,3,1,1,109,328,4
Occupational,3,Healthcare Admin,2014,1,1,1,433,117,11
Occupational,3,Healthcare Admin,2015,3,1,6,94,366,6
Occupational,3,Healthcare Admin,2016,3,1,1,99,166,3
Occupational,3,Healthcare Admin,2017,2,2,1,297,121,6
Occupational,3,Healthcare Admin,2018,1,2,1,111,144,13
Occupational,3,Healthcare Admin,2019,2,1,1,497,271,4
Occupational,3,Healthcare Admin,2020,2,2,1,619,184,12
Occupational,3,Healthcare Admin,2021,3,1,3,743,127,9
Occupational,3,Healthcare Admin,2022,1,1,1,497,389,8
Occupational,3,Healthcare Admin,2023,1,1,1,438,222,6
Occupational,3,Healthcare Admin,2024,1,1,1,103,346,11
Occupational,3,Healthcare Admin,2025,3,1,6,561,423,2
Occupational,3,Healthcare Admin,2026,3,1,2,142,124,13
Occupational,4,Office Etiquette,2005,2,2,2,1049,123,29
Occupational,4,Office Etiquette,2006,2,1,1,903,323,9
Occupational,4,Office Etiquette,2007,1,1,1,431,334,41
Occupational,4,Office Etiquette,2008,4,2,1,594,382,8
Occupational,4,Office Etiquette,2009,2,1,1,986,81,27
Occupational,4,Office Etiquette,2010,4,1,2,1001,93,39
Occupational,4,Office Etiquette,2011,4,1,6,282,496,28
Occupational,4,Office Etiquette,2012,2,1,1,1284,492,7
Occupational,4,Office Etiquette,2013,6,1,6,1057,198,7
Occupational,4,Office Etiquette,2014,1,1,3,557,191,33
Occupational,4,Office Etiquette,2015,1,1,2,278,331,19
Occupational,4,Office Etiquette,2016,2,2,4,317,302,17
Occupational,4,Office Etiquette,2017,6,1,1,889,71,6
Occupational,4,Office Etiquette,2018,4,1,1,787,178,43
Occupational,4,Office Etiquette,2019,3,1,3,1191,473,16
Occupational,4,Office Etiquette,2020,2,2,1,289,378,43
Occupational,4,Office Etiquette,2021,1,1,1,963,227,6
Occupational,4,Office Etiquette,2022,2,2,6,607,368,12
Occupational,4,Office Etiquette,2023,4,1,1,686,247,18
Occupational,4,Office Etiquette,2024,2,1,1,359,107,8
Occupational,4,Office Etiquette,2025,4,2,1,541,198,36
Occupational,4,Office Etiquette,2026,1,2,1,1321,309,19
Occupational,4,Business Management,2005,6,2,2,656,301,37
Occupational,4,Business Management,2006,7,2,4,1346,348,73
Occupational,4,Business Management,2007,9,1,1,1386,396,59
Occupational,4,Business Management,2008,1,2,1,996,539,82
Occupational,4,Business Management,2009,8,2,3,1302,521,39
Occupational,4,Business Management,2010,3,1,6,372,259,58
Occupational,4,Business Management,2011,6,3,1,1198,149,79
Occupational,4,Business Management,2012,6,1,4,1908,496,74
Occupational,4,Business Management,2013,7,3,2,769,219,86
Occupational,4,Business Management,2014,3,1,1,1821,631,52
Occupational,4,Business Management,2015,3,1,1,826,181,27
Occupational,4,Business Management,2016,4,2,1,1944,574,42
Occupational,4,Business Management,2017,8,2,1,1842,348,67
Occupational,4,Business Management,2018,7,1,1,296,581,61
Occupational,4,Business Management,2019,4,1,1,1738,186,72
Occupational,4,Business Management,2020,3,2,1,2083,453,44
Occupational,4,Business Management,2021,6,2,1,1083,241,76
Occupational,4,Business Management,2022,9,2,1,1988,224,22
Occupational,4,Business Management,2023,4,2,1,461,189,86
Occupational,4,Business Management,2024,3,2,1,857,391,16
Occupational,4,Business Management,2025,6,1,1,982,489,41
Occupational,4,Business Management,2026,8,2,1,718,313,79
Occupational,6,Accounting & Finance,2005,4,1,4,1431,74,16
Occupational,6,Accounting & Finance,2006,7,1,6,1649,61,24
Occupational,6,Accounting & Finance,2007,4,1,1,754,178,26
Occupational,6,Accounting & Finance,2008,6,1,6,618,53,23
Occupational,6,Accounting & Finance,2009,3,1,1,819,161,21
Occupational,6,Accounting & Finance,2010,4,1,1,1711,153,24
Occupational,6,Accounting & Finance,2011,6,1,1,351,128,13
Occupational,6,Accounting & Finance,2012,1,1,1,1466,161,6
Occupational,6,Accounting & Finance,2013,4,6,6,928,26,17
Occupational,6,Accounting & Finance,2014,3,1,1,1569,41,12
Occupational,6,Accounting & Finance,2015,4,1,1,991,121,7
Occupational,6,Accounting & Finance,2016,6,1,2,1448,189,16
Occupational,6,Accounting & Finance,2017,4,1,4,1691,178,12
Occupational,6,Accounting & Finance,2018,6,1,3,531,93,8
Occupational,6,Accounting & Finance,2019,6,1,1,426,184,19
Occupational,6,Accounting & Finance,2020,4,1,6,389,109,19
Occupational,6,Accounting & Finance,2021,7,1,2,734,88,24
Occupational,6,Accounting & Finance,2022,1,6,1,779,109,11
Occupational,6,Accounting & Finance,2023,3,1,1,1427,166,17
Occupational,6,Accounting & Finance,2024,7,1,1,1449,139,22
Occupational,6,Accounting & Finance,2025,2,1,1,1519,154,17
Occupational,6,Accounting & Finance,2026,4,1,4,907,59,8
Occupational,7,Architecture & Design,2005,2,1,1,974,118,122
Occupational,7,Architecture & Design,2006,3,1,1,907,189,23
Occupational,7,Architecture & Design,2007,1,1,1,654,333,123
Occupational,7,Architecture & Design,2008,3,3,1,392,83,114
Occupational,7,Architecture & Design,2009,3,1,1,201,178,21
Occupational,7,Architecture & Design,2010,3,3,1,972,102,73
Occupational,7,Architecture & Design,2011,1,1,1,524,122,108
Occupational,7,Architecture & Design,2012,1,1,1,542,72,113
Occupational,7,Architecture & Design,2013,2,3,6,824,124,74
Occupational,7,Architecture & Design,2014,1,1,1,556,267,68
Occupational,7,Architecture & Design,2015,1,1,6,219,52,138
Occupational,7,Architecture & Design,2016,2,1,1,728,231,91
Occupational,7,Architecture & Design,2017,3,1,4,733,321,39
Occupational,7,Architecture & Design,2018,1,1,1,637,188,34
Occupational,7,Architecture & Design,2019,3,1,3,754,79,146
Occupational,7,Architecture & Design,2020,2,3,1,391,238,168
Occupational,7,Architecture & Design,2021,2,1,1,424,133,148
Occupational,7,Architecture & Design,2022,2,3,1,934,79,76
Occupational,7,Architecture & Design,2023,1,1,4,992,74,149
Occupational,7,Architecture & Design,2024,3,1,4,346,81,144
Occupational,7,Architecture & Design,2025,2,1,1,602,161,134
Occupational,7,Architecture & Design,2026,2,1,1,313,64,154
Occupational,8,Mechanical Eng.,2005,2,6,1,1494,52,7
Occupational,8,Mechanical Eng.,2006,1,4,4,656,24,7
Occupational,8,Mechanical Eng.,2007,2,4,1,298,36,8
Occupational,8,Mechanical Eng.,2008,2,2,2,1312,13,2
Occupational,8,Mechanical Eng.,2009,2,4,1,416,51,3
Occupational,8,Mechanical Eng.,2010,2,2,4,959,54,11
Occupational,8,Mechanical Eng.,2011,4,1,3,698,87,3
Occupational,8,Mechanical Eng.,2012,4,4,1,1074,26,9
Occupational,8,Mechanical Eng.,2013,4,1,1,988,51,9
Occupational,8,Mechanical Eng.,2014,1,1,1,1167,67,11
Occupational,8,Mechanical Eng.,2015,2,6,3,512,16,3
Occupational,8,Mechanical Eng.,2016,2,1,1,498,42,3
Occupational,8,Mechanical Eng.,2017,2,4,1,1159,27,2
Occupational,8,Mechanical Eng.,2018,2,1,6,598,74,6
Occupational,8,Mechanical Eng.,2019,2,1,1,352,86,3
Occupational,8,Mechanical Eng.,2020,2,1,2,232,32,8
Occupational,8,Mechanical Eng.,2021,4,4,3,701,16,12
Occupational,8,Mechanical Eng.,2022,4,1,1,281,68,6
Occupational,8,Mechanical Eng.,2023,1,3,2,907,94,8
Occupational,8,Mechanical Eng.,2024,1,1,6,1489,94,4
Occupational,8,Mechanical Eng.,2025,3,2,3,186,83,2
Occupational,8,Mechanical Eng.,2026,4,1,2,677,46,11
Occupational,9,Software Eng.,2005,6,1,1,1468,28,9
Occupational,9,Software Eng.,2006,4,1,1,2182,127,24
Occupational,9,Software Eng.,2007,7,6,3,1376,61,28
Occupational,9,Software Eng.,2008,2,1,6,2394,127,24
Occupational,9,Software Eng.,2009,3,6,1,941,74,16
Occupational,9,Software Eng.,2010,7,3,1,763,21,4
Occupational,9,Software Eng.,2011,2,1,2,1917,144,11
Occupational,9,Software Eng.,2012,3,1,4,1869,122,28
Occupational,9,Software Eng.,2013,3,1,4,801,101,24
Occupational,9,Software Eng.,2014,6,1,1,541,116,17
Occupational,9,Software Eng.,2015,4,1,1,1683,128,14
Occupational,9,Software Eng.,2016,4,1,1,1997,118,17
Occupational,9,Software Eng.,2017,4,1,1,1799,46,9
Occupational,9,Software Eng.,2018,4,1,1,569,46,33
Occupational,9,Software Eng.,2019,7,3,2,1369,29,14
Occupational,9,Software Eng.,2020,1,1,1,717,103,4
Occupational,9,Software Eng.,2021,3,6,2,2577,101,9
Occupational,9,Software Eng.,2022,4,1,4,1868,84,33
Occupational,9,Software Eng.,2023,2,1,1,724,84,4
Occupational,9,Software Eng.,2024,2,1,6,534,101,16
Occupational,9,Software Eng.,2025,7,2,1,1678,37,32
Occupational,9,Software Eng.,2026,2,1,1,2603,98,23
Entertainment,1,Knitting,2005,1,2,6,176,191,141
Entertainment,1,Knitting,2006,1,1,1,28,889,101
Entertainment,1,Knitting,2007,1,3,1,87,919,119
Entertainment,1,Knitting,2008,1,4,1,189,1077,43
Entertainment,1,Knitting,2009,1,4,2,102,1304,192
Entertainment,1,Knitting,2010,2,2,1,53,1454,161
Entertainment,1,Knitting,2011,1,4,1,123,1057,32
Entertainment,1,Knitting,2012,1,3,1,189,1147,69
Entertainment,1,Knitting,2013,1,1,3,102,586,149
Entertainment,1,Knitting,2014,1,4,1,151,853,222
Entertainment,1,Knitting,2015,1,4,3,153,1266,121
Entertainment,1,Knitting,2016,1,1,1,164,1479,182
Entertainment,1,Knitting,2017,1,4,1,186,169,56
Entertainment,1,Knitting,2018,1,4,1,33,452,71
Entertainment,1,Knitting,2019,1,4,1,32,234,113
Entertainment,1,Knitting,2020,1,4,1,81,1124,221
Entertainment,1,Knitting,2021,1,4,1,113,1101,202
Entertainment,1,Knitting,2022,1,2,1,197,1144,111
Entertainment,1,Knitting,2023,1,1,1,176,1509,204
Entertainment,1,Knitting,2024,1,2,1,173,1296,131
Entertainment,1,Knitting,2025,1,4,1,24,831,191
Entertainment,1,Knitting,2026,1,6,1,123,1474,58
Entertainment,1,Crochet,2005,1,4,1,29,531,87
Entertainment,1,Crochet,2006,1,1,1,54,351,134
Entertainment,1,Crochet,2007,1,2,6,54,147,104
Entertainment,1,Crochet,2008,2,4,2,124,451,23
Entertainment,1,Crochet,2009,1,2,1,51,142,91
Entertainment,1,Crochet,2010,6,2,1,124,694,83
Entertainment,1,Crochet,2011,1,2,1,86,812,84
Entertainment,1,Crochet,2012,6,6,1,101,1044,149
Entertainment,1,Crochet,2013,1,3,1,86,881,171
Entertainment,1,Crochet,2014,6,4,6,18,651,157
Entertainment,1,Crochet,2015,1,4,1,79,601,79
Entertainment,1,Crochet,2016,1,3,1,141,973,106
